file_name,file_path,class_name,class_index
112921.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112921.jpg,Apple___alternaria_leaf_spot,0
112922.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112922.jpg,Apple___alternaria_leaf_spot,0
112923.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112923.jpg,Apple___alternaria_leaf_spot,0
112924.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112924.jpg,Apple___alternaria_leaf_spot,0
112925.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112925.jpg,Apple___alternaria_leaf_spot,0
112926.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112926.jpg,Apple___alternaria_leaf_spot,0
112927.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112927.jpg,Apple___alternaria_leaf_spot,0
112928.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112928.jpg,Apple___alternaria_leaf_spot,0
112929.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112929.jpg,Apple___alternaria_leaf_spot,0
112930.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112930.jpg,Apple___alternaria_leaf_spot,0
112931.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112931.jpg,Apple___alternaria_leaf_spot,0
112932.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112932.jpg,Apple___alternaria_leaf_spot,0
112933.jpg,/kaggle/input/datasets/nirmalsankalana/plant-diseases-training-dataset/data/Apple___alternaria_leaf_spot/112933.jpg,Apple___alternaria_leaf_spot,0
